ReqID,RegWt,ReqSize,ReqQuality,Result
4,2,1,3,0
4,0,1,3,0
4,0,1,3,0
4,0,1,3,0
4,0,1,3,0
4,0,1,3,0
4,32,1,3,1
4,2,1,3,0
4,2,1,3,0
4,2,1,3,0
4,0,1,3,0
4,14,1,3,0
4,2,1,3,0
4,38,1,3,1
4,14,1,3,0
4,2,1,3,0
4,0,1,3,0
4,0,1,3,0
4,0,1,3,0
4,14,1,3,0
4,0,1,3,0
4,38,1,3,1
4,14,1,3,0
1,6,3,3,1
1,0,3,3,0
1,62,3,3,1
1,62,3,3,1
3,2,1,3,0
3,0,1,3,0
3,0,1,3,0
3,0,1,3,0
3,0,1,3,0
3,0,1,3,0
3,32,1,3,1
3,2,1,3,0
3,2,1,3,0
3,2,1,3,0
3,0,1,3,0
3,14,1,3,0
3,2,1,3,0
3,38,1,3,1
3,14,1,3,0
3,2,1,3,1
3,34,1,3,1
3,34,1,3,1
3,0,1,3,0
3,14,1,3,0
3,34,1,3,1
3,38,1,3,1
3,14,1,3,0
5,0,3,1,0
5,0,3,1,0
5,0,3,1,0
5,0,3,1,0
5,0,3,1,0
5,0,3,1,0
5,0,3,1,0
5,0,3,1,0
5,0,3,1,0
5,0,3,1,0
6,0,2,2,0
6,0,2,2,0
6,14,2,2,0
6,0,2,2,0
6,0,2,2,0
6,0,2,2,0
6,0,2,2,0
21,0,3,1,0
21,0,3,1,0
21,0,3,1,0
21,0,3,1,0
21,0,3,1,0
21,0,3,1,0
21,0,3,1,0
21,0,3,1,0
6,0,2,2,0
6,0,2,2,0
6,0,2,2,0
6,0,2,2,0
6,62,2,2,0
6,0,2,2,0
21,0,3,1,0
21,0,3,1,0
17,0,3,1,0
17,0,3,1,0
17,0,3,1,0
17,0,3,1,0
17,0,3,1,0
17,0,3,1,0
17,0,3,1,0
17,0,3,1,0
17,0,3,1,0
17,0,3,1,0
17,0,3,1,0
10,8,3,1,0
10,0,3,1,0
10,0,3,1,0
10,0,3,1,0
10,0,3,1,0
10,0,3,1,0
10,0,3,1,0
10,0,3,1,0
10,0,3,1,0
10,0,3,1,0
12,0,2,1,0
12,0,2,1,0
12,0,2,1,0
12,0,2,1,0
12,0,2,1,0
12,0,2,1,0
22,0,3,1,0
22,0,3,1,0
22,0,3,1,0
22,0,3,1,0
22,0,3,1,0
12,0,2,1,0
12,0,2,1,0
12,0,2,1,0
12,0,2,1,0
16,0,3,1,0
16,0,3,1,0
16,0,3,1,0
16,0,3,1,0
16,0,3,1,0
16,0,3,1,0
16,0,3,1,0
16,0,3,1,0
15,0,2,1,0
15,0,2,1,0
15,0,2,1,0
15,0,2,1,0
15,0,2,1,0
8,0,3,1,0
8,0,3,1,0
8,0,3,1,0
8,2,3,1,0
9,0,3,1,0
9,0,3,1,0
9,0,3,1,0
9,2,3,1,0
15,0,2,1,0
15,0,2,1,0
15,0,2,1,0
15,0,2,1,0
15,0,2,1,0
15,0,2,1,0
15,0,2,1,0
11,0,3,1,0
11,0,3,1,0
11,0,3,1,0
11,0,3,1,0
11,0,3,1,0
11,2,3,1,0
11,0,3,1,0
11,0,3,1,0
11,0,3,1,0
11,0,3,1,0
11,0,3,1,0
9,0,3,1,0
9,0,3,1,0
12,0,2,1,0
12,0,2,1,0
12,0,2,1,1
19,0,3,1,0
19,0,3,1,0
19,0,3,1,0
19,0,3,1,0
19,0,3,1,0
19,0,3,1,0
19,0,3,1,0
19,0,3,1,0
19,0,3,1,0
19,0,3,1,0
19,0,3,1,0
19,0,3,1,0
18,0,3,1,0
18,0,3,1,0
18,0,3,1,0
18,0,3,1,0
18,0,3,1,0
18,0,3,1,0
18,0,3,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,16,1,1,0
7,16,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,2,1,1,0
7,2,1,1,0
7,2,1,1,0
7,2,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,2,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,8,1,1,0
7,8,1,1,0
7,8,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,24,1,1,1
7,24,1,1,1
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,0,1,1,0
7,4,1,1,0
7,0,1,1,0
7,0,1,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
13,0,2,1,0
14,0,2,1,0
14,0,2,1,0
14,0,2,1,0
14,0,2,1,0
14,0,2,1,0
14,0,2,1,0
14,0,2,1,0
14,0,2,1,0
14,0,2,1,0
14,0,2,1,0
14,0,2,1,0
14,0,2,1,0
14,0,2,1,0
14,0,2,1,0
14,0,2,1,0
14,0,2,1,0
14,0,2,1,0
14,0,2,1,0
2,0,3,3,0
2,0,3,3,0
2,0,3,3,0
2,2,3,3,0
2,0,3,3,0
2,2,3,3,0
2,2,3,3,0
2,0,3,3,0
2,2,3,3,0
2,2,3,3,0
2,2,3,3,0
2,0,3,3,0
5,0,3,3,0
5,0,3,3,0
5,2,3,3,0
5,0,3,3,0
5,0,3,3,0
5,2,3,3,0
5,0,3,3,0
5,0,3,3,0
5,2,3,3,0
5,2,3,3,0
5,2,3,3,0
5,0,3,3,0
5,0,3,3,0
5,0,3,3,0
5,0,3,3,0
5,0,3,3,0
5,0,3,3,0
5,0,3,3,0
5,0,3,3,0
5,0,3,3,0
5,0,3,3,0
5,0,3,3,0
5,0,3,3,0
5,0,3,3,0
5,0,3,3,0
