ReqID,TestId,RunID,RunStatus,RunCycle,RegWt,ModuleQuality,ModuleCriticality
10,18712,205742,0,4,0,1,2
10,18712,210962,0,5,0,1,2
10,18712,215535,0,6,0,1,2
10,18712,226628,0,7,0,1,2
10,18713,184755,0,1,0,1,2
10,18713,193448,0,2,0,1,2
10,18713,200020,0,3,0,1,2
10,18713,204200,0,4,0,1,2
10,18713,210958,0,5,0,1,2
10,18713,215531,0,6,0,1,2
10,18713,226623,0,7,0,1,2
10,18714,184756,0,1,0,1,2
10,18714,190359,0,2,0,1,2
10,18714,200021,0,3,0,1,2
10,18714,204202,0,4,0,1,2
10,18714,211528,0,5,0,1,2
10,18714,215539,0,6,0,1,2
10,18714,226625,0,7,0,1,2
10,18715,184757,0,1,0,1,2
10,18715,190360,0,2,0,1,2
10,18715,200022,0,3,0,1,2
10,18715,204203,0,4,0,1,2
10,18715,210959,0,5,0,1,2
10,18715,215533,0,6,0,1,2
10,18715,226626,0,7,0,1,2
10,18716,184758,0,1,0,1,2
10,18716,190361,0,2,0,1,2
10,18716,200023,0,3,0,1,2
10,18716,204204,0,4,0,1,2
10,18716,210960,0,5,0,1,2
10,18716,215537,0,6,0,1,2
10,18716,226630,0,7,0,1,2
10,18717,205743,1,1,2,1,2
10,18717,215422,1,2,4,1,2
12,18723,185863,0,1,0,1,2
12,18723,190387,0,2,0,1,2
12,18723,197209,0,3,0,1,2
12,18723,204174,0,4,0,1,2
12,18723,210424,0,5,0,1,2
12,18723,215433,0,6,0,1,2
12,18723,226586,0,7,0,1,2
12,18724,187084,0,1,0,1,2
12,18724,193469,0,2,0,1,2
12,18724,200174,0,3,0,1,2
12,18724,206023,0,4,0,1,2
12,18724,210425,0,5,0,1,2
12,18724,215434,0,6,0,1,2
12,18724,226587,0,7,0,1,2
12,18725,185864,0,1,0,1,2
12,18725,190388,0,2,0,1,2
12,18725,197210,0,3,0,1,2
12,18725,204175,0,4,0,1,2
12,18725,210426,0,5,0,1,2
12,18725,215435,0,6,0,1,2
12,18725,226588,0,7,0,1,2
12,18726,187196,0,1,0,1,2
12,18726,193468,0,2,0,1,2
12,18726,199878,0,3,0,1,2
12,18726,206022,0,4,0,1,2
12,18726,210423,0,5,0,1,2
12,18726,215432,0,6,0,1,2
12,18726,226585,0,7,0,1,2
12,18727,185866,0,1,0,1,2
12,18727,190391,0,2,0,1,2
12,18727,197212,0,3,0,1,2
12,18727,204177,0,4,0,1,2
12,18727,210428,0,5,0,1,2
12,18727,215437,0,6,0,1,2
12,18727,226590,0,7,0,1,2
12,18728,185865,0,1,0,1,2
12,18728,190390,0,2,0,1,2
12,18728,197211,0,3,0,1,2
12,18728,204176,0,4,0,1,2
12,18728,210427,0,5,0,1,2
12,18728,215436,0,6,0,1,2
12,18728,226589,0,7,0,1,2
22,18754,187075,0,1,0,1,2
22,18754,190346,0,2,0,1,2
22,18754,197262,0,3,0,1,2
22,18754,204138,0,4,0,1,2
22,18754,211025,0,5,0,1,2
22,18754,215567,0,6,0,1,2
22,18754,226603,0,7,0,1,2
22,18755,184796,0,1,0,1,2
22,18755,190342,0,2,0,1,2
22,18755,197260,0,3,0,1,2
22,18755,204136,0,4,0,1,2
22,18755,211023,0,5,0,1,2
22,18755,215565,0,6,0,1,2
22,18755,226601,0,7,0,1,2
22,18756,184798,0,1,0,1,2
22,18756,190345,0,2,0,1,2
22,18756,197263,0,3,0,1,2
22,18756,204139,0,4,0,1,2
22,18756,211026,0,5,0,1,2
22,18756,215568,0,6,0,1,2
22,18756,226604,0,7,0,1,2
22,18757,187770,0,1,0,1,2
22,18757,205788,1,2,4,1,2
22,18757,215564,1,3,8,1,2
22,18758,184797,0,1,0,1,2
22,18758,190343,0,2,0,1,2
22,18758,197261,0,3,0,1,2
22,18758,204137,0,4,0,1,2
22,18758,211024,0,5,0,1,2
22,18758,215566,0,6,0,1,2
22,18758,226602,0,7,0,1,2
12,18761,185867,0,1,0,1,2
12,18761,190392,0,2,0,1,2
12,18761,197213,0,3,0,1,2
12,18761,204178,0,4,0,1,2
12,18761,210429,0,5,0,1,2
12,18761,215438,0,6,0,1,2
12,18761,226591,0,7,0,1,2
12,18762,187086,0,1,0,1,2
12,18762,190394,0,2,0,1,2
12,18762,197215,0,3,0,1,2
12,18762,204195,0,4,0,1,2
12,18762,211881,0,5,0,1,2
12,18762,215440,0,6,0,1,2
12,18762,226593,0,7,0,1,2
12,18763,185861,0,1,0,1,2
12,18763,190385,0,2,0,1,2
12,18763,197207,0,3,0,1,2
12,18763,204194,0,4,0,1,2
12,18763,211879,0,5,0,1,2
12,18763,215442,0,6,0,1,2
12,18763,226583,0,7,0,1,2
12,18764,205770,1,1,2,1,2
12,18764,215423,1,2,4,1,2
16,19740,184789,0,1,0,1,2
16,19740,190330,0,2,0,1,2
16,19740,197242,0,3,0,1,2
16,19740,204132,0,4,0,1,2
16,19740,211017,0,5,0,1,2
16,19740,215505,0,6,0,1,2
16,19740,226600,0,7,0,1,2
16,19741,184790,0,1,0,1,2
16,19741,190331,0,2,0,1,2
16,19741,197243,0,3,0,1,2
16,19741,204133,0,4,0,1,2
16,19741,211019,0,5,0,1,2
16,19741,215506,0,6,0,1,2
16,19741,226598,0,7,0,1,2
16,19742,187761,0,1,0,1,2
16,19742,194487,0,2,0,1,2
16,19742,197239,0,3,0,1,2
16,19742,204130,0,4,0,1,2
16,19742,211015,0,5,0,1,2
16,19742,215503,0,6,0,1,2
16,19742,226596,0,7,0,1,2
16,19743,184786,0,1,0,1,2
16,19743,190327,0,2,0,1,2
16,19743,197237,0,3,0,1,2
16,19743,206235,0,4,0,1,2
16,19743,211013,0,5,0,1,2
16,19743,215501,0,6,0,1,2
16,19743,226594,0,7,0,1,2
16,19744,184787,0,1,0,1,2
16,19744,190328,0,2,0,1,2
16,19744,197238,0,3,0,1,2
16,19744,204129,0,4,0,1,2
16,19744,211014,0,5,0,1,2
16,19744,215502,0,6,0,1,2
16,19744,226595,0,7,0,1,2
16,19745,184788,0,1,0,1,2
16,19745,190329,0,2,0,1,2
16,19745,197241,0,3,0,1,2
16,19745,204131,0,4,0,1,2
16,19745,211016,0,5,0,1,2
16,19745,215504,0,6,0,1,2
16,19745,226597,0,7,0,1,2
16,19746,184791,0,1,0,1,2
16,19746,190332,0,2,0,1,2
16,19746,197244,0,3,0,1,2
16,19746,204134,0,4,0,1,2
16,19746,211021,0,5,0,1,2
16,19746,215508,0,6,0,1,2
16,19746,226599,0,7,0,1,2
16,19747,187762,0,1,0,1,2
16,19747,205781,1,2,4,1,2
16,19747,215496,1,3,8,1,2
15,19750,184738,0,1,0,1,2
15,19750,190399,0,2,0,1,2
15,19750,198759,0,3,0,1,2
15,19750,204188,0,4,0,1,2
15,19750,210450,0,5,0,1,2
15,19750,215479,0,6,0,1,2
15,19750,226564,0,7,0,1,2
15,19751,184739,0,1,0,1,2
15,19751,190400,0,2,0,1,2
15,19751,198760,0,3,0,1,2
15,19751,204189,0,4,0,1,2
15,19751,210451,0,5,0,1,2
15,19751,215480,0,6,0,1,2
15,19751,226565,0,7,0,1,2
15,19752,184740,0,1,0,1,2
15,19752,194471,0,2,0,1,2
15,19752,198762,0,3,0,1,2
15,19752,206039,0,4,0,1,2
15,19752,211942,0,5,0,1,2
15,19752,215464,0,6,0,1,2
15,19752,226569,0,7,0,1,2
15,19753,187199,0,1,0,1,2
15,19753,193470,0,2,0,1,2
15,19753,200164,0,3,0,1,2
15,19753,206034,0,4,0,1,2
15,19753,210446,0,5,0,1,2
15,19753,215475,0,6,0,1,2
15,19753,226561,0,7,0,1,2
15,19754,187200,0,1,0,1,2
15,19754,193471,0,2,0,1,2
15,19754,200160,0,3,0,1,2
15,19754,206036,0,4,0,1,2
15,19754,210453,0,5,0,1,2
15,19754,215481,0,6,0,1,2
15,19754,226566,0,7,0,1,2
8,19755,187063,0,1,0,2,2
8,19755,194491,0,2,0,2,2
8,19755,197247,0,3,0,2,2
8,19755,204142,0,4,0,2,2
8,19755,204144,1,5,32,2,2
8,19755,206241,0,6,0,2,2
8,19755,211030,0,7,0,2,2
8,19755,215560,0,8,0,2,2
8,19755,226607,0,9,0,2,2
8,19756,187061,0,1,0,2,2
8,19756,194488,0,2,0,2,2
8,19756,197245,0,3,0,2,2
8,19756,204140,0,4,0,2,2
8,19756,211028,0,5,0,2,2
8,19756,215558,0,6,0,2,2
8,19756,226605,0,7,0,2,2
8,19757,187763,0,1,0,2,2
8,19757,194490,0,2,0,2,2
8,19757,197246,0,3,0,2,2
8,19757,204141,0,4,0,2,2
8,19757,204143,1,5,32,2,2
8,19757,206240,0,6,0,2,2
8,19757,211029,0,7,0,2,2
8,19757,215559,0,8,0,2,2
8,19757,226606,0,9,0,2,2
8,19758,187826,1,1,2,2,2
8,19758,205782,1,2,4,2,2
8,19758,215557,1,3,8,2,2
9,19782,187064,0,1,0,1,2
9,19782,194497,0,2,0,1,2
9,19782,197249,0,3,0,1,2
9,19782,204157,0,4,0,1,2
9,19782,211042,0,5,0,1,2
9,19782,215541,0,6,0,1,2
9,19782,226617,0,7,0,1,2
9,19783,187764,0,1,0,1,2
9,19783,194496,0,2,0,1,2
9,19783,197248,0,3,0,1,2
9,19783,204156,0,4,0,1,2
9,19783,211041,0,5,0,1,2
9,19783,215540,0,6,0,1,2
9,19783,226616,0,7,0,1,2
9,19784,187765,0,1,0,1,2
9,19784,194500,0,2,0,1,2
9,19784,197251,0,3,0,1,2
9,19784,204159,0,4,0,1,2
9,19784,211044,0,5,0,1,2
9,19784,215544,0,6,0,1,2
9,19784,226619,0,7,0,1,2
9,19785,187771,1,1,2,1,2
9,19785,194498,0,2,0,1,2
9,19785,197250,0,3,0,1,2
9,19785,204158,0,4,0,1,2
9,19785,211043,0,5,0,1,2
9,19785,215542,0,6,0,1,2
9,19785,226618,0,7,0,1,2
15,19786,184737,0,1,0,1,2
15,19786,190398,0,2,0,1,2
15,19786,198758,0,3,0,1,2
15,19786,204187,0,4,0,1,2
15,19786,210448,0,5,0,1,2
15,19786,215478,0,6,0,1,2
15,19786,226563,0,7,0,1,2
15,19787,184735,0,1,0,1,2
15,19787,190396,0,2,0,1,2
15,19787,198756,0,3,0,1,2
15,19787,206033,0,4,0,1,2
15,19787,210444,0,5,0,1,2
15,19787,215474,0,6,0,1,2
15,19787,226560,0,7,0,1,2
15,19788,184741,0,1,0,1,2
15,19788,190402,0,2,0,1,2
15,19788,198763,0,3,0,1,2
15,19788,204191,0,4,0,1,2
15,19788,211943,0,5,0,1,2
15,19788,215484,0,6,0,1,2
15,19788,226570,0,7,0,1,2
15,19789,205771,1,1,2,1,2
15,19789,215457,1,2,4,1,2
15,19790,187092,0,1,0,1,2
15,19790,194469,0,2,0,1,2
15,19790,200158,0,3,0,1,2
15,19790,206037,0,4,0,1,2
15,19790,210456,0,5,0,1,2
15,19790,215482,0,6,0,1,2
15,19790,226567,0,7,0,1,2
15,19791,185870,0,1,0,1,2
15,19791,190401,0,2,0,1,2
15,19791,198761,0,3,0,1,2
15,19791,206038,0,4,0,1,2
15,19791,210457,0,5,0,1,2
15,19791,215462,0,6,0,1,2
15,19791,215467,1,7,128,1,2
15,19791,215483,0,8,0,1,2
15,19791,226568,0,9,0,1,2
15,19792,184736,0,1,0,1,2
15,19792,190397,0,2,0,1,2
15,19792,198757,0,3,0,1,2
15,19792,206035,0,4,0,1,2
15,19792,210447,0,5,0,1,2
15,19792,215476,0,6,0,1,2
15,19792,226562,0,7,0,1,2
11,19794,184747,0,1,0,1,2
11,19794,190409,0,2,0,1,2
11,19794,198755,0,3,0,1,2
11,19794,206032,0,4,0,1,2
11,19794,210441,0,5,0,1,2
11,19794,215454,0,6,0,1,2
11,19794,226580,0,7,0,1,2
11,19795,185873,1,1,2,1,2
11,19795,187088,0,2,0,1,2
11,19795,194463,0,3,0,1,2
11,19795,194468,1,4,16,1,2
11,19795,200169,0,5,0,1,2
11,19795,204184,1,6,64,1,2
11,19795,206030,0,7,0,1,2
11,19795,210438,0,8,0,1,2
11,19795,215455,0,10,0,1,2
11,19795,215450,0,9,0,1,2
11,19795,226571,0,11,0,1,2
11,19795,226577,0,12,0,1,2
11,19796,184744,0,1,0,1,2
11,19796,190405,0,2,0,1,2
11,19796,198750,0,3,0,1,2
11,19796,204182,0,4,0,1,2
11,19796,210433,0,5,0,1,2
11,19796,215447,0,6,0,1,2
11,19796,226574,0,7,0,1,2
11,19797,185871,0,1,0,1,2
11,19797,190408,0,2,0,1,2
11,19797,198754,0,3,0,1,2
11,19797,204186,0,4,0,1,2
11,19797,210440,0,5,0,1,2
11,19797,215453,0,6,0,1,2
11,19797,226579,0,7,0,1,2
11,19798,185874,1,1,2,1,2
11,19798,194465,0,2,0,1,2
11,19798,200638,0,3,0,1,2
11,19798,206031,0,4,0,1,2
11,19798,210436,0,5,0,1,2
11,19798,215449,0,6,0,1,2
11,19798,226576,0,7,0,1,2
11,19799,184743,0,1,0,1,2
11,19799,190404,0,2,0,1,2
11,19799,198749,0,3,0,1,2
11,19799,204181,0,4,0,1,2
11,19799,210432,0,5,0,1,2
11,19799,215446,0,6,0,1,2
11,19799,226573,0,7,0,1,2
11,19800,184745,0,1,0,1,2
11,19800,190406,0,2,0,1,2
11,19800,198751,0,3,0,1,2
11,19800,204183,0,4,0,1,2
11,19800,210435,0,5,0,1,2
11,19800,215448,0,6,0,1,2
11,19800,226575,0,7,0,1,2
11,19801,184742,0,1,0,1,2
11,19801,190403,0,2,0,1,2
11,19801,198748,0,3,0,1,2
11,19801,204180,0,4,0,1,2
11,19801,210431,0,5,0,1,2
11,19801,215445,0,6,0,1,2
11,19801,226572,0,7,0,1,2
11,19802,184746,0,1,0,1,2
11,19802,190407,0,2,0,1,2
11,19802,198752,0,3,0,1,2
11,19802,204185,0,4,0,1,2
11,19802,210439,0,5,0,1,2
11,19802,215452,0,6,0,1,2
11,19802,226578,0,7,0,1,2
11,19803,187080,0,1,0,1,2
11,19803,205775,1,2,4,1,2
11,19803,215444,1,3,8,1,2
9,19809,187766,0,1,0,1,2
9,19809,190334,0,2,0,1,2
9,19809,197253,0,3,0,1,2
9,19809,204161,0,4,0,1,2
9,19809,211046,0,5,0,1,2
9,19809,215546,0,6,0,1,2
9,19809,226621,0,7,0,1,2
9,19811,184792,0,1,0,1,2
9,19811,190333,0,2,0,1,2
9,19811,197252,0,3,0,1,2
9,19811,204160,0,4,0,1,2
9,19811,211045,0,5,0,1,2
9,19811,215545,0,6,0,1,2
9,19811,226620,0,7,0,1,2
12,19828,185860,0,1,0,1,2
12,19828,190384,0,2,0,1,2
12,19828,197206,0,3,0,1,2
12,19828,204193,0,4,0,1,2
12,19828,211880,0,5,0,1,2
12,19828,215441,0,6,0,1,2
12,19828,226582,0,7,0,1,2
12,19829,185869,0,1,0,1,2
12,19829,190393,0,2,0,1,2
12,19829,197214,0,3,0,1,2
12,19829,204179,0,4,0,1,2
12,19829,210430,0,5,0,1,2
12,19829,215439,0,6,0,1,2
12,19829,226592,0,7,0,1,2
12,19830,185862,0,1,0,1,2
12,19830,190386,0,2,0,1,2
12,19830,197208,0,3,0,1,2
12,19830,204173,0,4,0,1,2
12,19830,210422,0,5,0,1,2
12,19830,215874,1,6,64,1,2
12,19830,226584,0,7,0,1,2
19,19831,184775,0,1,0,1,3
19,19831,190372,0,2,0,1,3
19,19831,200262,0,3,0,1,3
19,19831,204205,0,4,0,1,3
19,19832,184772,0,1,0,1,3
19,19832,190371,0,2,0,1,3
19,19832,200263,0,3,0,1,3
19,19832,204206,0,4,0,1,3
19,19833,184776,0,1,0,1,3
19,19833,193462,0,2,0,1,3
19,19833,200266,0,3,0,1,3
19,19833,204207,0,4,0,1,3
19,19834,184770,0,1,0,1,3
19,19834,190369,0,2,0,1,3
19,19834,200268,0,3,0,1,3
19,19834,204208,0,4,0,1,3
19,19835,184771,0,1,0,1,3
19,19835,190370,0,2,0,1,3
19,19835,200269,0,3,0,1,3
19,19835,204209,0,4,0,1,3
19,19836,184773,0,1,0,1,3
19,19836,193458,0,2,0,1,3
19,19836,200270,0,3,0,1,3
19,19836,204210,0,4,0,1,3
19,19837,184768,0,1,0,1,3
19,19837,193456,0,2,0,1,3
19,19837,200271,0,3,0,1,3
19,19837,204212,0,4,0,1,3
19,19838,190373,0,1,0,1,3
19,19838,201527,0,2,0,1,3
19,19838,205823,0,3,0,1,3
19,19839,184774,0,1,0,1,3
19,19839,193459,0,2,0,1,3
19,19839,200272,0,3,0,1,3
19,19839,204213,0,4,0,1,3
19,19840,187757,0,1,0,1,3
19,19840,193460,0,2,0,1,3
19,19840,200273,0,3,0,1,3
19,19840,205824,0,4,0,1,3
19,19841,184769,0,1,0,1,3
19,19841,193457,0,2,0,1,3
19,19841,200278,0,3,0,1,3
19,19841,204214,0,4,0,1,3
19,19842,205784,1,1,2,1,3
18,19848,187069,0,1,0,1,2
18,19848,190339,0,2,0,1,2
18,19848,200640,0,3,0,1,2
18,19848,204155,0,4,0,1,2
18,19848,211037,0,5,0,1,2
18,19848,215553,0,6,0,1,2
18,19848,226612,0,7,0,1,2
18,19849,187768,0,1,0,1,2
18,19849,190337,0,2,0,1,2
18,19849,197258,0,3,0,1,2
18,19849,206448,0,4,0,1,2
18,19849,211038,0,5,0,1,2
18,19849,215554,0,6,0,1,2
18,19849,226613,0,7,0,1,2
18,19850,187065,0,1,0,1,2
18,19850,190335,0,2,0,1,2
18,19850,197254,0,3,0,1,2
18,19850,204153,0,4,0,1,2
18,19850,211032,0,5,0,1,2
18,19850,215550,0,6,0,1,2
18,19850,226609,0,7,0,1,2
18,19851,184793,0,1,0,1,2
18,19851,190338,0,2,0,1,2
18,19851,197259,0,3,0,1,2
18,19851,206236,0,4,0,1,2
18,19851,211039,0,5,0,1,2
18,19851,215555,0,6,0,1,2
18,19851,226615,0,7,0,1,2
18,19852,187767,0,1,0,1,2
18,19852,197257,0,2,0,1,2
18,19852,205786,1,3,8,1,2
18,19852,215548,1,4,16,1,2
18,19853,187066,0,1,0,1,2
18,19853,194494,0,2,0,1,2
18,19853,197255,0,3,0,1,2
18,19853,204154,0,4,0,1,2
18,19853,211033,0,5,0,1,2
18,19853,215551,0,6,0,1,2
18,19853,226610,0,7,0,1,2
18,19854,187068,0,1,0,1,2
18,19854,190336,0,2,0,1,2
18,19854,197256,0,3,0,1,2
18,19854,206243,0,4,0,1,2
18,19854,211034,0,5,0,1,2
18,19854,215552,0,6,0,1,2
18,19854,226611,0,7,0,1,2
7,92637,184677,0,1,0,1,2
7,92637,190220,0,2,0,1,2
7,92637,198795,0,3,0,1,2
7,92637,204030,0,4,0,1,2
7,92637,209939,0,5,0,1,2
7,92637,215403,0,6,0,1,2
7,92637,226506,0,7,0,1,2
7,92638,184678,0,1,0,1,2
7,92638,190221,0,2,0,1,2
7,92638,198796,0,3,0,1,2
7,92638,204031,0,4,0,1,2
7,92639,184679,0,1,0,1,2
7,92639,190248,0,2,0,1,2
7,92639,198797,0,3,0,1,2
7,92639,204032,0,4,0,1,2
7,92640,184680,0,1,0,1,2
7,92640,190222,0,2,0,1,2
7,92640,198798,0,3,0,1,2
7,92640,204033,0,4,0,1,2
7,92641,184681,0,1,0,1,2
7,92641,190243,0,2,0,1,2
7,92641,198799,0,3,0,1,2
7,92641,204034,0,4,0,1,2
7,92641,211875,0,5,0,1,2
7,92641,215822,0,6,0,1,2
7,92641,226507,0,7,0,1,2
7,92642,184682,0,1,0,1,2
7,92642,190244,0,2,0,1,2
7,92642,198800,0,3,0,1,2
7,92642,204035,0,4,0,1,2
7,92643,184683,1,1,2,1,2
7,92643,190224,1,2,4,1,2
7,92643,198801,0,3,0,1,2
7,92643,204026,1,4,16,1,2
7,92643,204028,1,5,32,1,2
7,92643,204407,0,6,0,1,2
7,92644,184685,0,1,0,1,2
7,92644,190245,0,2,0,1,2
7,92644,198802,0,3,0,1,2
7,92644,204027,1,4,16,1,2
7,92644,204029,1,5,32,1,2
7,92644,204408,0,6,0,1,2
7,92644,209940,0,7,0,1,2
7,92644,215396,0,8,0,1,2
7,92644,226508,0,9,0,1,2
7,92645,184686,0,1,0,1,2
7,92645,190225,0,2,0,1,2
7,92645,198803,0,3,0,1,2
7,92645,204036,0,4,0,1,2
7,92646,184693,0,1,0,1,2
7,92646,190223,0,2,0,1,2
7,92646,198804,0,3,0,1,2
7,92646,204039,0,4,0,1,2
7,92646,209941,0,5,0,1,2
7,92646,215823,0,6,0,1,2
7,92646,226509,0,7,0,1,2
7,92647,184684,0,1,0,1,2
7,92647,190227,0,2,0,1,2
7,92647,198805,0,3,0,1,2
7,92647,204040,0,4,0,1,2
7,92648,184687,0,1,0,1,2
7,92648,190228,0,2,0,1,2
7,92648,198807,0,3,0,1,2
7,92648,204041,0,4,0,1,2
7,92649,184688,0,1,0,1,2
7,92649,190229,0,2,0,1,2
7,92649,198808,0,3,0,1,2
7,92649,204042,0,4,0,1,2
7,92650,184689,0,1,0,1,2
7,92650,190230,0,2,0,1,2
7,92650,198809,0,3,0,1,2
7,92650,204043,0,4,0,1,2
7,92651,184690,0,1,0,1,2
7,92651,190231,0,2,0,1,2
7,92651,198810,0,3,0,1,2
7,92651,204044,0,4,0,1,2
7,92652,184694,0,1,0,1,2
